Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-599219,2022-05-08,2022-05-14,Same Day,CU-1125,Ahmed Moore,Home Office,Mississippi,South,PRD-OFF-4986,Office Supplies,Appliances,Appliances Item 413,20.84,1,0.1,1.71
2,CA-2023-680358,2023-01-26,2023-01-30,Same Day,CU-1169,David Thomas,Corporate,Wisconsin,Central,PRD-OFF-5118,Office Supplies,Storage,Storage Item 336,312.75,9,0.5,6.85
3,CA-2022-878967,2022-10-09,2022-10-10,Second Class,CU-1030,Susan Davis,Consumer,Ohio,Central,PRD-OFF-9595,Office Supplies,Fasteners,Fasteners Item 711,476.9,4,0.2,107.81
4,CA-2022-338533,2022-02-02,2022-02-05,First Class,CU-1072,Barbara Jackson,Home Office,Illinois,Central,PRD-FUR-1893,Furniture,Tables,Tables Item 666,1070.79,1,0,25.1
5,CA-2024-889359,2024-07-30,2024-08-06,Standard Class,CU-1074,Mary Young,Home Office,Washington,West,PRD-FUR-4020,Furniture,Chairs,Chairs Item 152,2239.9,10,0.5,219.98
6,CA-2021-168517,2021-08-22,2021-08-29,Standard Class,CU-1064,Michael Thompson,Corporate,Florida,East,PRD-FUR-5978,Furniture,Furnishings,Furnishings Item 187,9552.9,10,0,-303.05
7,CA-2024-536390,2024-02-17,2024-02-24,Same Day,CU-1063,Chen Brown,Consumer,New York,East,PRD-OFF-8025,Office Supplies,Envelopes,Envelopes Item 412,1165.82,8,0.2,334.68
8,CA-2021-876039,2021-05-04,2021-05-09,Second Class,CU-1145,Fatima White,Home Office,Wisconsin,Central,PRD-TEC-2229,Technology,Accessories,Accessories Item 260,6689.15,5,0,53.11
9,CA-2023-722656,2023-07-12,2023-07-18,Standard Class,CU-1000,Anna Brown,Consumer,Alabama,South,PRD-FUR-8438,Furniture,Bookcases,Bookcases Item 172,1451.23,4,0.2,313.97
10,CA-2022-929683,2022-06-26,2022-07-03,Same Day,CU-1175,Linda Jones,Corporate,Washington,West,PRD-OFF-3330,Office Supplies,Envelopes,Envelopes Item 173,222.38,2,0,68.67
11,CA-2022-885339,2022-09-22,2022-09-27,Same Day,CU-1015,Mary Davis,Corporate,Washington,West,PRD-OFF-5460,Office Supplies,Labels,Labels Item 612,154.24,2,0.2,33.14
12,CA-2023-727086,2023-06-16,2023-06-17,First Class,CU-1138,Joseph Jackson,Home Office,Florida,East,PRD-TEC-1339,Technology,Copiers,Copiers Item 883,5382.2,10,0,16.23
13,CA-2024-900177,2024-03-26,2024-03-27,Same Day,CU-1172,Linda Williams,Home Office,Oregon,West,PRD-TEC-9056,Technology,Copiers,Copiers Item 193,1211.7,5,0.4,224.96
14,CA-2023-436653,2023-04-17,2023-04-20,Second Class,CU-1120,Jessica Lee,Home Office,Oregon,West,PRD-OFF-7561,Office Supplies,Paper,Paper Item 933,255.81,6,0.5,7.6
15,CA-2021-192337,2021-03-17,2021-03-21,First Class,CU-1194,David Smith,Corporate,Mississippi,South,PRD-FUR-1018,Furniture,Bookcases,Bookcases Item 773,1747.4,2,0.4,505.37
16,CA-2023-296694,2023-04-27,2023-04-28,Same Day,CU-1138,Joseph Jackson,Home Office,Florida,East,PRD-OFF-3146,Office Supplies,Storage,Storage Item 394,1103.04,8,0.1,22.25
17,CA-2021-760626,2021-09-06,2021-09-07,Second Class,CU-1112,Michael White,Corporate,Alabama,South,PRD-OFF-2858,Office Supplies,Envelopes,Envelopes Item 572,337.23,5,0.4,-19.58
18,CA-2023-406039,2023-10-18,2023-10-24,Same Day,CU-1030,Susan Davis,Consumer,Ohio,Central,PRD-OFF-3369,Office Supplies,Labels,Labels Item 492,1412.28,8,0.1,149.07
19,CA-2023-243139,2023-11-07,2023-11-13,Same Day,CU-1048,Michael Thompson,Home Office,North Carolina,East,PRD-TEC-5634,Technology,Machines,Machines Item 843,8984.54,6,0.2,2419.06
20,CA-2024-613425,2024-04-02,2024-04-08,Same Day,CU-1076,Charles Harris,Home Office,North Carolina,East,PRD-TEC-6272,Technology,Copiers,Copiers Item 990,2513.74,6,0.4,263.7
21,CA-2024-344907,2024-03-17,2024-03-21,First Class,CU-1048,Michael Thompson,Home Office,Pennsylvania,East,PRD-FUR-3492,Furniture,Chairs,Chairs Item 607,5120.06,8,0.4,377.53
22,CA-2023-448121,2023-10-26,2023-10-31,Standard Class,CU-1009,Fatima Taylor,Consumer,Washington,West,PRD-TEC-7717,Technology,Copiers,Copiers Item 991,16428.24,9,0,3697.99
23,CA-2021-919488,2021-06-03,2021-06-07,Same Day,CU-1167,Jennifer Johnson,Corporate,Ohio,Central,PRD-FUR-8994,Furniture,Bookcases,Bookcases Item 993,1538.51,2,0.4,506.73
24,CA-2024-346174,2024-06-18,2024-06-19,Second Class,CU-1138,Joseph Jackson,Home Office,New York,East,PRD-OFF-2646,Office Supplies,Labels,Labels Item 554,179.24,2,0,43.41
